BMP,Itens,apartamento,situacao,data_cadastro,ultimo_comentario,data_ultima_inspecao,data_atualizacao
2100480,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100481,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100482,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2100483,Refrigerador Domest  1 Porta 342l 127v Br Cl Crb39abana.,,,,,,
2107076,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107077,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107078,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107079,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107080,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107081,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107082,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107083,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107084,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107085,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107086,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107087,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107088,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107089,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107090,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107091,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107092,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107093,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107094,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107095,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107096,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107097,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107098,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107099,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107100,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107101,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107102,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107103,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107104,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107105,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107106,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107107,Suporte Para Microondas (Axlxc) 13cmx55cmx44cm,,,,,,
2107737,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107769,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
2107770,"Forno Microondas, Capacidade 20l, Potência 620w, Voltagem 220v, Cor Branca, Marca Midea",,,,,,
